Marker,X,Y,Z,ID,PartnerID,Volume,Partner.Volume,Pair.Volume,PairID,Pair.Distance
ctbp2,86.8572,67.6096,4.6454,95,90,0.407263,0.931238,1.338501,9590,0.301797552
ctbp2,74.0292,69.5564,5.30475,96,96,0.0715394,0.951797,1.0233364,9696,0.194978405
ctbp2,81.1529,66.3641,4.24087,97,98,0.410827,0.537317,0.948144,9798,0.31703378
ctbp2,83.0279,63.7174,4.38354,98,93,0.460235,0.772876,1.233111,9893,0.255265885
ctbp2,60.078,67.47,5.93442,99,99,0.33564,0.532689,0.868329,9999,0.058045628
ctbp2,66.6621,66.6081,3.81902,100,100,0.275671,0.871501,1.147172,100100,0.352088012
ctbp2,76.0614,67.7683,5.16184,101,101,0.3752,0.812079,1.187279,101101,0.378662254
ctbp2,47.6677,63.4355,5.53044,102,104,0.454909,0.950503,1.405412,102104,0.303415194
ctbp2,51.5958,65.5092,5.38721,103,106,0.302033,1.16071,1.462743,103106,0.413871674
ctbp2,50.3679,67.6585,5.54382,104,107,0.290614,0.607254,0.897868,104107,0.324061917
ctbp2,49.3239,69.3114,4.38294,105,105,0.350919,0.63456,0.985479,105105,0.213297123
ctbp2,60.0724,69.0703,5.14011,106,102,0.249423,0.623599,0.873022,106102,0.195803162
ctbp2,61.2613,62.1707,5.5859,107,103,0.27558,0.839493,1.115073,107103,0.197474799
ctbp2,42.4888,69.8249,5.91767,108,113,0.371505,0.85909,1.230595,108113,0.15281197
ctbp2,50.2963,64.5332,3.5452,109,109,0.316916,0.978812,1.295728,109109,0.251127502
ctbp2,62.1404,69.0558,4.2791,110,110,0.293932,0.588704,0.882636,110110,0.226727313
ctbp2,33.4463,66.5432,4.84521,111,116,0.197864,0.426753,0.624617,111116,0.368277135
ctbp2,31.6516,66.98,4.79276,112,111,0.239056,0.553016,0.792072,112111,0.226092326
ctbp2,43.1356,70.1931,5.5006,113,112,0.544678,1.0579,1.602578,113112,0.191499945
ctbp2,23.0894,71.0459,5.71852,114,122,0.333881,0.730873,1.064754,114122,0.233689283
ctbp2,37.1377,66.1157,3.55776,115,118,0.191088,0.555911,0.746999,115118,0.216013112
ctbp2,46.8055,68.3706,3.68444,116,114,0.366639,0.919111,1.28575,116114,0.282989593
ctbp2,16.5473,70.2023,5.32299,117,120,0.245607,0.587563,0.83317,117120,0.23282925
ctbp2,25.9041,70.4661,5.08619,118,121,0.235258,0.53256,0.767818,118121,0.16934894
ctbp2,31.2157,68.9371,5.68782,119,117,0.343341,0.976265,1.319606,119117,0.269345633
ctbp2,30.3627,70.4534,4.5192,120,124,0.755654,0.673688,1.429342,120124,0.174503292
ctbp2,18.9487,70.7155,4.3622,121,128,0.613851,0.729333,1.343184,121128,0.13749537
ctbp2,18.2683,65.3998,4.73604,122,125,0.441977,0.810985,1.252962,122125,0.198599436
ctbp2,25.0917,67.2029,4.21383,123,127,0.344233,0.338706,0.682939,123127,0.259814359
ctbp2,21.15,70.2352,4.0255,124,126,0.390886,0.759529,1.150415,124126,0.321421086
ctbp2,16.7523,68.0414,4.49321,125,123,0.743717,1.07142,1.815137,125123,0.21048373
ctbp2,30.2405,67.8281,3.19065,126,129,0.318719,0.518981,0.8377,126129,0.101224375
ctbp2,31.4246,67.3799,3.67721,127,119,0.691651,0.717563,1.409214,127119,0.252835489
